Date,equity,bond,gold,cash
2021-09-01,9437.150390625,101.78938293457031,169.6999969482422,77.27315521240234
2021-09-02,9465.4697265625,101.91104888916016,169.25,77.2900619506836
2021-09-03,9462.5400390625,101.667724609375,171.05999755859375,77.27315521240234
2021-09-07,9430.6796875,101.26800537109375,167.7100067138672,77.27315521240234
2021-09-08,9418.5703125,101.54607391357422,167.2899932861328,77.27315521240234
2021-09-09,9375.990234375,101.83281707763672,168.02999877929688,77.27315521240234
2021-09-10,9304.0302734375,101.51133728027344,167.17999267578125,77.28160858154297
2021-09-13,9325.2900390625,101.63297271728516,167.74000549316406,77.28160858154297
2021-09-14,9273.990234375,102.01529693603516,168.82000732421875,77.27315521240234
2021-09-15,9352.830078125,101.84152221679688,167.8300018310547,77.27315521240234
2021-09-16,9338.6103515625,101.5199966430664,164.02999877929688,77.28160858154297
2021-09-17,9253.5703125,101.2245864868164,163.77000427246094,77.27315521240234
2021-09-20,9096.51953125,101.73725891113281,164.94000244140625,77.28160858154297
2021-09-21,9089.5498046875,101.67644500732422,166.0399932861328,77.27315521240234
2021-09-22,9176.080078125,101.77198791503906,165.4199981689453,77.27315521240234
2021-09-23,9287.7998046875,100.85089111328125,163.50999450683594,77.28160858154297
2021-09-24,9301.490234375,100.54676818847656,163.3000030517578,77.27315521240234
2021-09-27,9275.8701171875,100.27738189697266,163.63999938964844,77.27315521240234
2021-09-28,9087.4697265625,99.89505004882812,162.0500030517578,77.27315521240234
2021-09-29,9102.6201171875,99.99932098388672,161.32000732421875,77.28160858154297
2021-09-30,8994.830078125,100.12100219726562,164.22000122070312,77.28160858154297
2021-10-01,9098.25,100.5296401977539,164.58999633789062,77.28160858154297
2021-10-04,8980.6396484375,100.40795135498047,165.36000061035156,77.26472473144531
2021-10-05,9076.1904296875,100.09490203857422,164.58999633789062,77.27315521240234
2021-10-06,9113.4501953125,100.12098693847656,165.02999877929688,77.27315521240234
2021-10-07,9191.1904296875,99.72098541259766,164.16000366210938,77.27315521240234
2021-10-08,9173.740234375,99.50358581542969,164.22999572753906,77.27315521240234
2021-10-11,9110.759765625,99.26011657714844,163.9199981689453,77.27315521240234
2021-10-12,9088.73046875,99.7123031616211,164.66000366210938,77.27315521240234
2021-10-13,9116.3896484375,99.90357971191406,167.58999633789062,77.27315521240234
2021-10-14,9272.9697265625,100.13837432861328,168.0,77.26472473144531
2021-10-15,9342.150390625,99.64276123046875,165.3300018310547,77.27315521240234
2021-10-18,9373.6796875,99.50358581542969,164.9199981689453,77.26472473144531
2021-10-19,9443.1201171875,99.14704895019531,165.4499969482422,77.26472473144531
2021-10-20,9477.8203125,99.1036148071289,166.89999389648438,77.26472473144531
2021-10-21,9506.91015625,98.8427505493164,166.75,77.26472473144531
2021-10-22,9496.8603515625,99.09487915039062,167.77000427246094,77.26472473144531
2021-10-25,9541.990234375,99.2166519165039,168.92999267578125,77.27315521240234
2021-10-26,9559.3896484375,99.33837890625,167.67999267578125,77.25625610351562
2021-10-27,9511.26953125,99.89490509033203,168.1199951171875,77.25625610351562
2021-10-28,9605.23046875,99.63404083251953,168.0800018310547,77.27315521240234
2021-10-29,9625.01953125,99.67752075195312,166.64999389648438,77.27315521240234
2021-11-01,9642.4404296875,99.6697006225586,167.52000427246094,77.27315521240234
2021-11-02,9677.9501953125,99.91334533691406,167.16000366210938,77.25625610351562
2021-11-03,9740.4697265625,99.60005187988281,165.77000427246094,77.25625610351562
2021-11-04,9782.48046875,100.13957977294922,167.64999389648438,77.26472473144531
2021-11-05,9819.98046875,100.68778991699219,169.83999633789062,77.26472473144531
2021-11-08,9828.8095703125,100.2527084350586,170.4499969482422,77.27315521240234
2021-11-09,9795.1201171875,100.71388244628906,171.2899932861328,77.25625610351562
2021-11-10,9716.7197265625,99.85240936279297,173.14999389648438,77.25625610351562
2021-11-11,9722.080078125,99.53044891357422,174.1199951171875,77.26472473144531
2021-11-12,9793.2197265625,99.73931884765625,174.4499969482422,77.26472473144531
2021-11-15,9793.5302734375,99.34770965576172,174.17999267578125,77.26472473144531
2021-11-16,9831.91015625,99.26069641113281,172.9199981689453,77.25625610351562
2021-11-17,9808.26953125,99.61747741699219,174.5,77.25625610351562
2021-11-18,9842.349609375,99.67838287353516,173.94000244140625,77.26472473144531
2021-11-19,9828.7998046875,99.9481430053711,172.61000061035156,77.26472473144531
2021-11-22,9798.2900390625,99.21720886230469,168.74000549316406,77.26472473144531
2021-11-23,9814.650390625,98.8082275390625,167.27999877929688,77.25625610351562
2021-11-24,9837.599609375,99.1127700805664,167.1199951171875,77.26472473144531
2021-11-26,9614.25,100.3919448852539,166.85000610351562,77.25625610351562
2021-11-29,9741.7802734375,100.16565704345703,166.6199951171875,77.26472473144531
2021-11-30,9558.330078125,100.76607513427734,165.5,77.25625610351562
2021-12-01,9446.2099609375,100.95594024658203,166.16000366210938,77.26472473144531
2021-12-02,9581.7900390625,100.73825073242188,165.24000549316406,77.26472473144531
2021-12-03,9501.2802734375,101.33039093017578,166.6300048828125,77.25625610351562
2021-12-06,9613.01953125,100.82533264160156,166.22000122070312,77.25625610351562
2021-12-07,9812.2001953125,100.44216918945312,166.80999755859375,77.25625610351562
2021-12-08,9842.6796875,100.11995697021484,166.89999389648438,77.26472473144531
2021-12-09,9773.1904296875,100.37250518798828,165.8800048828125,77.25625610351562
2021-12-10,9866.6201171875,100.44216918945312,166.5800018310547,77.26472473144531
2021-12-13,9776.6904296875,100.92108917236328,167.0,77.26472473144531
2021-12-14,9705.0595703125,100.7469482421875,165.44000244140625,77.26472473144531
2021-12-15,9863.919921875,100.598876953125,166.14999389648438,77.26472473144531
2021-12-16,9778.08984375,100.8917465209961,168.16000366210938,77.25625610351562
2021-12-17,9678.0302734375,101.11840057373047,167.8000030517578,77.26472473144531
2021-12-20,9567.91015625,101.0312271118164,167.08999633789062,77.25625610351562
2021-12-21,9738.73046875,100.63026428222656,167.02000427246094,77.247802734375
2021-12-22,9838.900390625,100.72614288330078,168.58999633789062,77.247802734375
2021-12-23,9900.2998046875,100.5169906616211,168.97000122070312,77.247802734375
2021-12-27,10037.669921875,100.55183410644531,169.3699951171875,77.25625610351562
2021-12-28,10027.5302734375,100.53441619873047,168.63999938964844,77.247802734375
2021-12-29,10041.6103515625,100.02014923095703,168.58999633789062,77.247802734375
2021-12-30,10012.509765625,100.35134887695312,169.8000030517578,77.25625610351562
2021-12-31,9986.7001953125,100.23802947998047,170.9600067138672,77.25625610351562
2022-01-03,10050.41015625,99.30541229248047,168.3300018310547,77.247802734375
2022-01-04,10044.75,99.25308227539062,169.57000732421875,77.25625610351562
2022-01-05,9850.7001953125,98.834716796875,169.05999755859375,77.25625610351562
2022-01-06,9841.919921875,98.59065246582031,166.99000549316406,77.25625610351562
2022-01-07,9803.849609375,98.2681655883789,167.75,77.25625610351562
2022-01-10,9789.7197265625,98.24202728271484,168.25999450683594,77.247802734375
2022-01-11,9879.3896484375,98.47733306884766,170.2899932861328,77.23936462402344
2022-01-12,9907.3798828125,98.49478912353516,170.74000549316406,77.247802734375
2022-01-13,9767.349609375,98.80856323242188,170.16000366210938,77.25625610351562
2022-01-14,9775.5302734375,98.12869262695312,169.6699981689453,77.25625610351562
2022-01-18,9595.9296875,97.38780212402344,169.38999938964844,77.23936462402344
2022-01-19,9503.1396484375,97.62313842773438,172.0800018310547,77.25625610351562
2022-01-20,9398.9599609375,97.83234405517578,171.64999389648438,77.25625610351562
2022-01-21,9221.2802734375,98.39887237548828,171.08999633789062,77.247802734375
2022-01-24,9246.83984375,98.31175231933594,172.02999877929688,77.25625610351562
2022-01-25,9134.330078125,98.18097686767578,172.5800018310547,77.23936462402344
2022-01-26,9120.75,97.48367309570312,169.7899932861328,77.247802734375
2022-01-27,9072.240234375,97.89336395263672,167.60000610351562,77.25625610351562
2022-01-28,9294.2099609375,98.1199951171875,167.10000610351562,77.23936462402344
2022-01-31,9469.919921875,98.1199951171875,168.08999633789062,77.25625610351562
