,strategy
2016-07-31,0.028235254847735453
2016-08-31,-0.004345723856857803
2016-09-30,0.0012447927140922966
2016-10-31,-0.018752602972031233
2016-11-30,0.017223797064513265
2016-12-31,0.015111552069758984
2017-01-31,0.015215530887343025
2017-02-28,0.031832265880585464
2017-03-31,0.0007602095084239909
2017-04-30,0.0085517925918027
2017-05-31,0.010734290144368885
2017-06-30,0.0031342965056210025
2017-07-31,0.016891898498138422
2017-08-31,0.006988997897851563
2017-09-30,0.008612659498984165
2017-10-31,0.01514782596946011
2017-11-30,0.02225623243735376
2017-12-31,0.009835497969790991
2018-01-31,0.04160968311997295
2018-02-28,-0.02777387073576328
2018-03-31,-0.016937485989459527
2018-04-30,0.0018998668049146916
2018-05-31,0.015153280450358358
2018-06-30,0.003726147209033214
2018-07-31,0.02999454122330723
2018-08-31,0.02634936935892128
2018-09-30,0.0038785762414426297
2018-10-31,-0.054393694753638165
2018-11-30,0.014431411788753973
2018-12-31,-0.017532608384075696
2019-01-31,0.007254078670752058
2019-02-28,0.005681347697371426
2019-03-31,0.019739718698160585
2019-04-30,0.02723271560681201
2019-05-31,-0.03668893045413062
2019-06-30,0.03906902383232326
2019-07-31,0.009885193879520865
2019-08-31,0.004676656800081631
2019-09-30,0.0072805375476734865
2019-10-31,0.018050571363915406
2019-11-30,0.020776374633295878
2019-12-31,0.022877697216862183
2020-01-31,0.009421564610129518
2020-02-29,-0.052400979310570646
2020-03-31,-0.07928638870308029
2020-04-30,0.00919824725814094
2020-05-31,0.010531488186070933
2020-06-30,0.009708422099495649
2020-07-31,0.05170836568820406
2020-08-31,0.048002522256692874
2020-09-30,-0.030163761381043964
2020-10-31,-0.02194594035569796
2020-11-30,0.07159321283841893
2020-12-31,0.032097861604049566
2021-01-31,-0.010736894993562061
2021-02-28,0.017453085544488347
2021-03-31,0.03403837331128268
2021-04-30,0.042650221689755095
2021-05-31,0.005530361019681947
2021-06-30,0.01223286570420675
2021-07-31,0.018906647864944382
2021-08-31,0.021727675985029133
2021-09-30,-0.03788530848940781
2021-10-31,0.05578644188612574
2021-11-30,-0.005642081838696771
2021-12-31,0.034480562807680755
2022-01-31,-0.0408156536733092
2022-02-28,-0.019632707715130784
2022-03-31,0.018743133355377684
2022-04-30,-0.032747397926408676
2022-05-31,-0.0031464882555473613
2022-06-30,-0.00013490628023340876
2022-07-31,-0.0005940193710233591
2022-08-31,0.001852247380474183
2022-09-30,0.0019922357411115616
2022-10-31,0.0015110271381202829
2022-11-30,0.0030766829668341018
2022-12-31,-0.004350909420133708
2023-01-31,0.020467478597443488
2023-02-28,-0.016907791106963523
2023-03-31,0.02438069196175046
2023-04-30,0.011691905903137016
2023-05-31,-0.0003865855846829924
2023-06-30,0.03873085655163029
2023-07-31,0.02467357229575577
2023-08-31,-0.012100426727731322
2023-09-30,-0.038583841676271304
2023-10-31,-0.013662105478669162
2023-11-30,0.0421911649319956
2023-12-31,0.0292531648532564
2024-01-31,0.010923154175339383
2024-02-29,0.03694019952655467
2024-03-31,0.031197321521233164
2024-04-30,-0.028369628733634394
2024-05-31,0.03717319187951052
2024-06-30,0.02652377641234181
2024-07-31,0.017994800678418528
2024-08-31,0.021693262840438703
2024-09-30,0.022589573578395854
2024-10-31,-0.008878014894164494
2024-11-30,0.03928290674917281
2024-12-31,-0.019995780814997383
2025-01-31,0.02710310972535716
2025-02-28,-0.005056916071836282
2025-03-31,-0.029393805927385674
2025-04-30,0.007025749297886492
2025-05-31,-0.0005923046095243834
2025-06-30,0.02268242246481552
2025-07-31,0.01405330181908715
2025-08-31,0.021782831188662533
2025-09-30,0.03854561144979412
2025-10-31,0.021320773507105144
2025-11-30,0.009009696221418468
2025-12-31,0.0010294634030272034
2026-01-31,0.021915822803679715
2026-02-28,0.006804828446432044
2026-03-31,-0.05061811303153999
2026-04-30,0.047416414535647475
2026-05-31,0.013389949419826443
